state,perc_MMR,perc_exempt,k_pop,nonmed_nonrel_exempt,rel_exempt,form,in_personHD,notarize,edu_full,edu,edu_form,yearly_renew,perc_x,perc_protestantx,perc_evangx,perc_histblckx,perc_mainx,perc_cathx,perc_ldsx,perc_other,perc_athag,perc_nothing_unaff,PVI
Alabama,95.2,2.3,53589,0,1,1,1,0,0,0,0,0,73,66,43,13,10,6,0,3,4,18,6
Alaska,81.2,9.4,7338,0,1,1,0,1,0,0,0,1,62,35,23,1,11,19,3,7,10,19,5
Arizona,88.6,9.1,75024,1,1,1,0,,0,1,1,0,58,30,19,1,10,21,5,10,9,22,4
Arkansas,89.6,3.6,37570,1,1,1,0,1,0,1,1,1,79,71,50,8,13,5,0,3,6,12,6
California,96.1,0.1,590849,0,0,,,,,,,,55,26,16,2,8,25,1,9,13,20,3
Colorado,88,4.2,60055,1,1,1,0,0,1,1,0,1,52,30,17,0,13,14,3,7,18,22,2
Connecticut,98.2,0.4,30112,0,0,,,,,,,,57,19,6,2,11,35,0,11,10,21,2
Delaware,94.1,2.6,10393,0,1,1,0,1,0,0,0,0,70,50,19,15,16,19,0,6,9,15,2
District of Columbia,92.7,2.7,7997,1,1,1,1,0,0,0,0,0,56,37,14,12,11,15,1,11,15,16,3
Florida,88.8,5.1,221053,0,1,1,1,0,0,0,0,0,64,38,22,7,9,22,1,7,9,18,5
Georgia,86.8,4.8,114568,0,1,1,0,1,0,0,0,0,67,57,33,14,10,8,1,7,6,20,4
Hawaii,89.9,5.5,13804,0,1,1,1,0,0,0,0,0,60,38,20,4,14,16,4,9,8,22,3
Idaho,78.5,15.4,22242,1,1,0,0,0,0,0,0,0,62,38,31,0,7,9,14,4,11,22,6
Illinois,91.8,2.8,132769,0,1,1,0,0,1,1,0,1,62,36,16,7,13,23,0,8,10,19,2
Indiana,90.8,2.6,73744,0,1,,,,,,,1,65,46,32,3,11,16,1,3,10,21,5
Iowa,88.8,3.9,38268,0,1,1,0,0,0,0,0,0,62,47,21,1,25,15,1,5,9,22,5
Kansas,91,3.6,33892,0,1,0,0,0,0,0,0,0,70,48,27,3,18,19,2,0,7,21,5
Kentucky,86.9,2.2,51319,0,1,1,0,1,0,0,0,0,72,59,46,2,11,11,1,4,8,15,6
Louisiana,92.6,3.1,49229,1,1,0,0,0,0,0,0,0,74,50,33,11,6,23,4,4,4,17,6
Maine,97.6,0.8,11761,0,0,,,,,,,,51,36,22,1,13,14,1,9,14,25,1
Maryland,96.4,2.2,66135,0,1,0,0,0,0,0,0,0,58,43,15,15,13,12,0,9,13,19,3
Massachusetts,96.6,1.5,65581,0,1,0,0,0,0,0,0,0,52,21,8,3,10,29,0,11,12,25,3
Michigan,91.6,6.8,107636,1,1,1,1,0,1,1,0,0,61,40,21,5,14,19,1,6,9,22,0
Minnesota,86.5,5.9,64898,1,1,1,0,1,0,0,0,0,63,43,20,1,22,18,0,7,14,15,1
Mississippi,97.6,1.2,35293,0,1,1,1,0,1,1,0,0,77,71,42,20,9,5,0,1,5,13,6
Missouri,90,5.2,68163,0,1,1,0,0,0,0,0,0,62,46,31,5,10,14,1,4,13,20,5
Montana,,,,0,1,1,1,0,0,0,0,0,55,39,28,0,11,12,3,6,20,19,6
Nebraska,94.2,4,24102,0,1,1,0,1,0,0,0,0,74,53,31,0,22,20,0,3,5,16,6
Nevada,91.3,7.1,33272,0,1,1,0,1,0,0,0,0,62,40,23,6,11,19,2,7,10,19,4
New Hampshire,89.2,4.1,11713,0,1,1,0,0,1,1,0,0,45,24,10,1,13,20,1,5,19,29,1
New Jersey,92.8,4.7,104339,0,1,1,0,0,0,0,0,0,59,24,9,5,10,33,0,12,10,17,1
New Mexico,94.8,2,20180,0,1,1,0,1,0,0,0,1,63,32,25,1,6,27,1,5,10,20,1
New York,97.8,0.3,234054,0,0,,,,,,,,57,25,10,5,10,29,1,13,10,17,2
North Carolina,94.2,3.2,124028,0,1,0,0,0,0,0,0,0,69,59,35,11,13,7,1,5,9,17,4
North Dakota,90,7,9659,1,1,0,0,0,0,0,0,1,73,49,21,3,25,23,1,2,6,17,6
Ohio,88.3,4.7,131589,1,1,0,0,0,0,0,0,0,64,46,26,4,16,16,0,5,10,19,5
Oklahoma,88.7,5.7,47544,1,1,1,0,0,0,0,0,1,70,62,47,4,11,8,1,2,14,12,6
Oregon,90.5,9.8,38247,1,1,0,0,0,1,1,0,0,43,33,25,0,8,8,1,10,20,23,2
Pennsylvania,92.4,6,140160,1,1,1,0,0,0,0,0,1,62,39,19,5,15,22,1,6,10,20,4
Rhode Island,96.7,1.9,10088,0,1,0,0,0,0,1,1,0,63,22,12,3,7,39,0,5,9,22,2
South Carolina,91.2,4.6,57718,0,1,1,1,0,0,0,0,0,77,69,39,17,13,7,0,6,7,9,5
South Dakota,90,6.8,11367,0,1,1,0,0,0,0,0,0,79,61,34,2,25,16,0,2,5,13,6
Tennessee,94.4,3.8,78299,0,1,0,0,0,0,0,0,0,72,63,45,6,12,7,1,3,9,15,6
Texas,93.2,4.3,378860,0,1,1,1,1,0,0,0,1,67,51,27,5,19,22,1,6,8,18,5
Utah,88.6,10.3,45818,1,1,1,0,0,1,1,0,0,63,8,3,0,5,4,50,2,14,20,6
Vermont,93.5,3.9,5432,0,1,1,0,0,0,1,1,1,45,25,8,0,17,18,1,8,17,29,3
Virginia,95.6,2.7,91453,0,1,1,0,1,0,0,0,0,62,49,25,10,14,10,1,7,12,16,1
Washington,90.9,4.8,76756,1,1,1,0,0,0,0,0,0,51,33,23,1,9,14,3,10,21,17,3
West Virginia,,,,1,1,0,0,0,0,0,0,0,64,60,37,2,21,3,1,3,7,24,6
Wisconsin,84.8,7.6,61120,1,1,1,0,0,0,0,0,0,61,39,19,2,18,20,0,4,14,20,0
Wyoming,93.6,5.9,6564,0,1,1,1,0,0,1,1,0,62,42,23,0,19,12,6,3,10,24,6
